"Parent","Title","Description"
"","Deliver AirHealth Phase 1 firmware for consumer measurement and factory verification","Ship BLE pairing, consumer measurement, disconnect recovery, low-power hysteresis, Factory mode, LED and button control, internal profile routing metadata, diagnostics, and OTA. Keep Factory mode and HW-ID out of consumer-facing flows."
"Deliver AirHealth Phase 1 firmware for consumer measurement and factory verification","Implement pairing and claim firmware","Expose device identity and capability data over BLE, return claim proof, and persist claimed state across reboot with deterministic failure handling."
"Implement pairing and claim firmware","Expose device.info capability and protocol metadata","Return protocol version, hardware revision, supported consumer modes, OTA support flag, and consumer-safe capability fields in `device.info`."
"Implement pairing and claim firmware","Implement claim.begin proof and claim-state persistence","Emit claim proof tied to device identity, persist successful claimed state, and reject duplicate claim attempts with a stable reason code."
"Deliver AirHealth Phase 1 firmware for consumer measurement and factory verification","Implement consumer session core","Enforce one active consumer session at a time and keep oral and fat session flows on a deterministic shared terminal-state model."
"Implement consumer session core","Update shared session orchestrator for one-session-at-a-time flow","Guard concurrent starts, manage terminal transitions, preserve recovery state by `session_id`, and carry internal routing metadata through the shared orchestration path."
"Implement consumer session core","Add session.event and session.result schema updates","Include battery state, quality gates, algorithm version, and internal routing metadata in firmware session events and completed session result payloads."
"Deliver AirHealth Phase 1 firmware for consumer measurement and factory verification","Implement oral measurement pipeline","Support oral warm-up, sample validation, and final oral result generation without emitting completed results for invalid samples."
"Implement oral measurement pipeline","Implement oral warm-up and sample-validity gates","Require warm-up readiness and stable valid sample gating before oral scoring can complete."
"Implement oral measurement pipeline","Implement oral result generation and payload emission","Emit oral result payload only after valid completion and include required summary, quality, and version metadata."
"Deliver AirHealth Phase 1 firmware for consumer measurement and factory verification","Implement fat repeated-reading engine","Support baseline lock, repeated readings, best-delta tracking, and final summary generation for fat-burning sessions."
"Implement fat repeated-reading engine","Implement fat baseline lock and repeated-reading loop","Treat the first valid reading as baseline, collect repeated readings, and update current and best delta values according to PRD rules."
"Implement fat repeated-reading engine","Implement fat finish/cancel handling and final summary payload","Produce a final summary on valid finish, suppress completed result emission on cancel, and preserve deterministic end-state behavior."
"Deliver AirHealth Phase 1 firmware for consumer measurement and factory verification","Implement disconnect recovery and session journaling","Persist bounded completed session summaries and replay them by `session_id` after transient disconnect until acknowledgment."
"Implement disconnect recovery and session journaling","Persist bounded unreconciled terminal results with CRC protection","Store unreconciled terminal result summaries with integrity protection and without raw long-duration traces."
"Implement disconnect recovery and session journaling","Implement session.resume.query replay and ACK tombstoning","Replay completed results by `session_id` after reconnect and clear journal entries after app acknowledgment."
"Deliver AirHealth Phase 1 firmware for consumer measurement and factory verification","Implement low-power hysteresis and safe wake","Conserve power without corrupting active or pending consumer session transitions."
"Implement low-power hysteresis and safe wake","Implement low-power entry and exit thresholds and debounce timers","Apply low-power entry at less than 1 percent change for 3 consecutive seconds and exit on user or app action or more than 2 percent change for 2 consecutive seconds."
"Implement low-power hysteresis and safe wake","Gate low-power around active-session transitions","Prevent low-power entry during user-initiated session transitions and ensure wake paths do not surface false measurement failures."
"Deliver AirHealth Phase 1 firmware for consumer measurement and factory verification","Implement Factory mode controller and provisioning latch","Add manufacturing-only one-time hardware verification with 10-second long-press entry and exit, pass or fail persistence, and permanent post-provisioning lockout."
"Implement Factory mode controller and provisioning latch","Implement factory authorization and 10-second entry and exit handling","Honor factory-only commands only after authorization succeeds and long-press entry has been completed."
"Implement Factory mode controller and provisioning latch","Implement one-time factory check execution and persistent lockout","Run the hardware check once per unit, persist pass or fail outcome, and reject future re-entry attempts after provisioning."
"Deliver AirHealth Phase 1 firmware for consumer measurement and factory verification","Implement LED and button control and internal profile tagging","Map runtime state to LED and button behavior and attach internal HW-ID and detected-VOC routing tags without changing consumer-facing semantics."
"Implement LED and button control and internal profile tagging","Implement 3-color LED and long-press button state controller","Support orange, green, and red factory indications plus consumer-safe runtime LED cues and stable long-press handling."
"Implement LED and button control and internal profile tagging","Resolve HW-ID and detected-VOC routing metadata","Resolve supported hardware profile and detected VOC routing metadata locally and attach internal tags to factory and session outputs."
"Deliver AirHealth Phase 1 firmware for consumer measurement and factory verification","Implement factory diagnostics and observability","Capture bounded factory logs, transfer them over BLE with retry and ACK handling, and emit required manufacturing counters without displacing consumer recovery journals."
"Implement factory diagnostics and observability","Buffer factory diagnostic bundles separately from consumer journals","Store factory diagnostic bundles in isolated bounded storage so factory noise cannot crowd out consumer session recovery data."
"Implement factory diagnostics and observability","Implement chunked factory log transfer, retry, and ACK flow","Expose factory log bundle metadata and chunk transfer over BLE, support interrupted transfer resume, and mark bundles delivered after acknowledgment."
"Deliver AirHealth Phase 1 firmware for consumer measurement and factory verification","Implement OTA transport and staging","Support BLE OTA manifest and chunk transfer, digest verification, staged apply, and explicit failure signaling."
"Implement OTA transport and staging","Implement OTA manifest and chunk receiver and progress events","Receive OTA manifest and image chunks over BLE, track partial transfer state, and emit progress or malformed-chunk failure events."
"Implement OTA transport and staging","Implement OTA verification, staged apply, and failure reasons","Verify staged image digest before apply, preserve pending slot metadata, and emit explicit validation and apply failure reasons."

